first_peak,second_peak,second_last_peak,last_peak,first_peak_2,second_peak_2,second_last_peak_2,last_peak_2,second_peak,1-hot-first,1-hot-last,Gradient_1,1-hot-first_2,1-hot_last_2,Gradient_2,1-hot_second,1-hot_second_peak_2,1-hot_second_last,1-hot_second_last_2,first_peak_differential,last_peak_differential,direction
0.9988524213908654,4.122714405936806,4.122714405936806,1.7479917374340141,3.6624588784331724,0.1958534159589932,4.137403412133731,1.5031749674852726,4.122714405936806,0,0,0.0938550667507002,1,0,-0.3740889979834949,1,0,1,1,1,1,{'No-right': 3}
4.005202356361411,0.044067018590773464,0.6071455894728789,3.1483436615408156,1.552138321475021,4.132507076734757,1.096779129370362,2.972075587177722,0.044067018590773464,1,1,-0.034762138067335704,0,1,0.22737056210059964,0,1,0,0,0,0,{'No-left': 1}
1.380766582510902,4.122714405936806,3.7163185678218955,2.0270828551755797,3.618391859842399,0.07344503098462245,4.137403412133731,1.8752964578073597,4.122714405936806,0,0,0.027032369031627645,1,0,-0.4614568370829887,1,0,1,1,1,0,{'No-left': 22}
4.039476704154234,0.11261571417642108,0.48473720449850816,3.3735750898936576,1.209394843546783,4.132507076734757,0.6952796266544259,3.275648381914161,0.11261571417642108,1,1,-0.03574640635105727,0,1,0.34985457930427916,0,1,0,0,0,0,{'No-left': 1}
1.3073215515262795,4.122714405936806,3.8093489404024177,1.9683268303878814,3.050416953561319,0.3623288195241374,3.5155688164639276,1.8508147808124855,4.122714405936806,0,0,0.04149664091419738,1,0,-0.199897935035451,1,0,1,1,1,1,{'No-right': 3}
4.117818070537832,0.3966031673169612,0.4945298752964578,3.4127457730854567,1.3220105577232042,4.132507076734757,0.8813403718154694,3.275648381914161,0.3966031673169612,1,1,-0.07457664906447875,0,1,0.32489626787562387,0,1,0,0,0,0,{'No-left': 1}
1.4542116134955243,4.122714405936806,3.794659934205493,2.012393848978655,3.393160431489557,0.039170683191798644,4.137403412133731,1.9928085073827555,4.122714405936806,0,0,0.02588348773128939,1,0,-0.24671305621371672,1,0,1,1,1,0,{'No-left': 22}
4.010098691760385,0.0489633539897483,0.34763981332721294,3.8436232881952415,1.6255833524596435,4.137403412133731,1.1849131665519088,3.0700022951572183,0.0489633539897483,1,1,0.016917131044171693,0,1,0.2434307888039954,0,1,0,0,0,0,{'No-left': 1}
0.9107183842093183,4.122714405936806,4.1129217351388565,1.8899854640042844,3.481294468671104,0.318261800933364,4.132507076734757,1.5913090046668197,4.122714405936806,0,0,0.119013901970261,1,0,-0.30619116770476695,1,0,1,1,1,1,{'No-right': 3}
4.127610741335782,0.03427434779282381,0.4994262106954327,3.358886083696733,1.1163644709662612,4.132507076734757,1.292632545329355,3.0700022951572183,0.03427434779282381,1,1,-0.03557714173844707,0,1,0.36025789930495455,0,1,0,0,0,0,{'No-left': 1}
1.3709739117129525,4.122714405936806,3.8436232881952415,2.0270828551755797,3.4568127916762297,0.039170683191798644,3.0014535995715708,1.983015836584806,4.122714405936806,0,0,0.04336053178162979,1,0,-0.24954382749822385,1,0,1,1,1,0,{'No-left': 22}
3.8436232881952415,0.03427434779282381,0.35743248412516254,3.618391859842399,1.664754035651442,4.132507076734757,0.9107183842093183,3.0553132889602934,0.03427434779282381,1,1,0.012436698596821583,0,1,0.20932263754973565,0,1,0,0,0,0,{'No-left': 1}
1.0722974523754878,4.122714405936806,3.8436232881952415,2.022186519776605,3.329508071302884,0.06854869558564762,3.3882640960905825,1.7479917374340141,4.122714405936806,0,0,0.07360994544338734,1,0,-0.2641027208313746,1,0,1,1,1,0,{'No-left': 22}
