first_peak,last_peak,gradient,first_peak_2,last_peak_2,Gradient_2,variance,skewness,Variance_2,Skewness_2,direction
0,1,0.22201804,1,1,0.002180487,0.257088472,0.406353146,0.362003626,0.099287792,left
1,0,-0.346412075,1,1,-0.004567016,0.258559827,0.401086224,0.363401189,0.072998516,right
0,1,0.28477394,1,1,0.001434576,0.257194514,0.407934614,0.362431072,0.091369586,left
1,0,-0.200017226,1,1,-0.004190319,0.25961763,0.401433882,0.364586404,0.071380509,right
0,0,0.184392067,1,0,-0.009362056,0.259083798,0.414520702,0.366882376,0.088489924,left
1,0,-0.208764016,1,1,-0.003909037,0.261556401,0.396423272,0.367530955,0.084661705,right
0,1,0.234848266,1,1,0.001113286,0.258185358,0.405624114,0.365089377,0.104026138,left
1,0,-0.206049363,1,0,-0.00820824,0.259301952,0.388606182,0.364444905,0.090042965,right
0,0,0.146547895,1,0,-0.007075921,0.257818691,0.397390182,0.364349203,0.10593119,left
1,0,-0.182660832,1,0,-0.007878394,0.257725433,0.382131105,0.36236935,0.098470777,right
0,1,0.382271358,1,1,0.000837063,0.258008016,0.372594911,0.362526379,0.116195887,left
1,0,-0.260823059,1,0,-0.006996749,0.257090004,0.36429486,0.361423199,0.104942973,right
0,0,0.145697699,1,1,0.000266611,0.255903065,0.372995615,0.360496399,0.110460631,left
1,0,-0.187836757,1,0,-0.006624195,0.254390483,0.362291126,0.360167726,0.095088581,right
0,0,0.09662315,1,1,0.00099938,0.252742609,0.367625994,0.360704126,0.106690541,left
1,0,-0.166840754,1,1,-0.002827219,0.250341466,0.356125809,0.360878058,0.08662142,right
0,1,0.325451617,1,1,0.000329333,0.250526482,0.351365028,0.359957793,0.09845896,left
1,0,-0.358931186,1,0,-0.73485284,0.40858201,0.072976076,0.405894227,-0.216391281,right
1,1,0.005498373,1,1,0.049114748,0.351725777,0.264416069,0.422626917,0.206447632,left
1,0,-0.193211544,1,1,-0.036135025,0.322229046,0.232050177,0.395377437,0.04727478,right
0,1,0.354307915,1,1,0.007963314,0.306807895,0.202645281,0.378603656,0.146373269,left
1,0,-0.228757628,1,0,-0.052691463,0.304021012,0.172037669,0.374782155,0.06489127,right
0,0,0.122134646,1,0,-0.03741257,0.292223558,0.239191521,0.37189132,0.160948034,left
1,0,-0.150901616,1,0,-0.033582817,0.277779505,0.23613232,0.360311219,0.092300046,right
0,0,0.15348008,1,0,-0.03240047,0.270929748,0.283170354,0.355729029,0.16563096,left
1,0,-0.155861233,1,0,-0.025014973,0.263225428,0.273003271,0.347278849,0.118023316,right
0,0,0.081356789,1,1,0.004603204,0.257503905,0.328924446,0.343169964,0.166152687,left
1,0,-0.176381858,1,1,-0.008659415,0.253200513,0.310542777,0.33647625,0.12829508,right
1,0,-0.256171045,1,1,0.003697714,0.251063123,0.333594923,0.33520942,0.181022295,left
1,0,-0.156016072,1,1,-0.007190798,0.248310635,0.327339447,0.330448248,0.14154782,right
0,0,0.074511229,1,0,-0.014696996,0.241896337,0.352877168,0.327676183,0.179881537,left
1,0,-0.1535226,1,0,-0.015859325,0.241491123,0.35573738,0.324299619,0.148930671,right
1,0,-0.212913492,1,1,0.001502909,0.237841149,0.362823505,0.319533673,0.18186826,left
1,0,-0.297125406,1,0,-0.013876808,0.236826785,0.369787935,0.318011668,0.148625532,right
0,0,0.119616321,1,1,0.001325947,0.234544557,0.389773171,0.313978007,0.174799846,left
1,0,-0.153780991,1,0,-0.010938964,0.231080928,0.371846188,0.310066402,0.141139984,right
0,0,0.133349777,1,1,0.001515783,0.230197758,0.393453021,0.309048882,0.165999758,left
1,0,-0.186957964,1,0,-0.011009884,0.234601259,0.375736941,0.312936869,0.145512071,right
0,1,0.322778306,1,1,0.001075412,0.234154959,0.367076344,0.311207686,0.162207923,left
1,0,-0.184565409,1,0,-0.009470356,0.233873603,0.357132384,0.309239326,0.142568799,right
0,0,0.216834963,1,1,0.00135678,0.234432373,0.353157143,0.310099034,0.164235787,left
1,0,-0.170234314,1,0,-0.008173033,0.232331863,0.344210509,0.308591715,0.14289127,right
